Quantum_Feature_0,Quantum_Feature_1,Quantum_Feature_2,Quantum_Feature_3
0.38833933072577603,0.5995375415544812,0.4122297263171251,0.0
0.6957735336229557,0.5402426899192883,0.3156376188311437,0.49990701676778265
0.6897316480221521,0.27688722111820063,0.44303694751715095,0.4140978993766957
0.7864682221230984,0.4660594877577381,0.4505942864856252,0.354874574609094
0.6320829275786235,0.9029516455675748,0.40541022473910054,0.41163318164043994
0.7813920901807532,0.47150976599718736,0.4733263077286784,0.3918938529364128
0.7730182986925924,0.4130349861030309,0.448095499702089,0.2790687395983773
0.7016531169457062,0.30244044888053034,0.4602437145289568,0.35709765199908383
0.8261510052646456,0.4896913049294189,0.3751829309363372,0.4749878351636368
0.5250094924371324,0.4398133380898272,0.5114099284717771,0.6110964052643174
0.7055013513154231,0.3095432450775559,0.45402942706478955,0.39352292569589714
0.5904532684600865,0.5218941694806774,0.2794139894418103,0.2966322453583451
0.713368007007897,0.10679374448285134,0.47683296230649946,0.3647698080855301
0.5964872878510498,0.46078571208276026,0.39705645382570254,0.4925490693432275
0.6842909446605145,0.26544157827855464,0.4035937458224421,0.4466391615082907
0.8334912069622475,0.5252207103277322,0.4074535348991295,0.3061729737794871
0.7717475557650331,0.4434881034461001,0.4988325422234988,0.3344117079220231
0.5558424340382726,0.39112974100816744,0.5125003800175022,0.38651464672601094
0.755587934281585,0.40559625654450726,0.3876093186777202,0.49845220861986994
0.7773323145799813,0.43364586630971036,0.47909001095171466,0.2940866435478279
0.6947986634712654,0.2856325470114818,0.5059421525439973,0.296005693224789
0.6997388696162908,0.306946864383149,0.44804276481185407,0.41667470255019684
0.716319768716072,0.32529895528651803,0.45538936488083914,0.353108301088311
0.7285821285739337,0.36816050210768214,0.45561060820767124,0.42771896602618487
0.0,0.8861943013693558,0.0,0.27770993156240714
0.7804825148662597,0.43671359625216516,0.47398446824188994,0.30180776235816054
0.7468365910189874,1.0,1.0,0.5375475741728725
0.7348430337196299,0.3627174202641911,0.45698874617675367,0.35842612310427135
0.7209765977574911,0.35770354757178224,0.5173467076269083,0.3242850893134169
0.868380637037263,0.6071685863167484,0.4385934218900973,0.3077911233861624
0.7517030698771558,0.41277268034150116,0.5157214848913423,0.33385683614942074
0.4014262539874522,0.8804630012917363,0.7589045727651984,0.505896735546664
0.816149681225289,0.4963183844076509,0.4180399557904726,0.3050104056102838
0.8319328539355927,0.54436592490529,0.44956486828030934,0.3269047005675871
0.6111702473417597,0.7140811694525078,0.38879520053137023,0.11314245551860663
0.7976331706852621,0.4751239764473406,0.5089326734902371,0.212753652559171
0.7366091779249363,0.3613166142674828,0.4741454058225237,0.3476961976989279
1.0,0.7968000068678006,0.06303613557470228,1.0
0.7944157151529956,0.48529940305739977,0.46754449746740917,0.3362431576234049
0.778202778134918,0.4195231732521646,0.4308782563274355,0.3521733563932306
0.7990934167384157,0.49046228151463955,0.42109838082183054,0.3868520084409666
0.7811534371259637,0.43654099194734475,0.4481519994726706,0.290525212687647
0.6425193638637666,0.18729948282933956,0.4958062579445527,0.3758831799588382
0.9032493262124067,0.6720828986417358,0.44760245908512747,0.28103086335219485
0.661518798987051,0.250841296062837,0.5020427666963669,0.4178685767386878
0.7023105988527331,0.5760053314747651,0.834665907745852,0.47835730193016407
0.9055085442384031,0.6826246628711261,0.4650158551859948,0.26825481768881393
0.9146074662614487,0.6965956527519559,0.4374586482347546,0.2997990798712215
0.775182332231958,0.6550909203433295,0.2747518994223259,0.38974210039015916
0.7044042285617099,0.05890990672244667,0.4852132773967965,0.4895131360886147
0.5587538737906959,0.4523078405152829,0.5661165886526216,0.38053845733579966
0.8759855368740944,0.6211502256089353,0.4616651513111244,0.28421645307561627
0.6457459789393412,0.0,0.5040444599823012,0.3972195718996738
0.8238754082485,0.52004961040346,0.44277751336939203,0.3072576865739148
0.5310874788397623,0.3159047890668595,0.39657771017146337,0.5956534940675376
0.7619093800400336,0.39571351739433047,0.4397570964271978,0.2822839664982346
0.8338446169054411,0.5290475479427877,0.41192122890221383,0.29321953401641543
0.8087868390010404,0.5193869122416359,0.5467325428351616,0.2507899131482219
0.7904088134667652,0.6003022433551909,0.44899035721044867,0.11473150439707208
0.7591534123740237,0.3747517301439629,0.40728514575584907,0.4152498877742601
0.671849285139611,0.25454449944627455,0.507888094711115,0.34571175144495797
0.8479837101476945,0.5721352271260708,0.4376308734531275,0.30299427943264234
0.8205767985688454,0.531173121314834,0.4124386034727267,0.3979361115544581
0.8253525144259342,0.538810982409147,0.5149235447439093,0.24011301012487377
